question,answer
What does 'apple' mean?,تفاح
What does 'book' mean?,كتاب
What does 'computer' mean?,حاسوب
What does 'house' mean?,منزل
What does 'car' mean?,سيارة
What does 'dog' mean?,كلب
What does 'cat' mean?,قط
What does 'water' mean?,ماء
What does 'school' mean?,مدرسة
What does 'tree' mean?,شجرة
What does 'chair' mean?,كرسي
What does 'table' mean?,طاولة
What does 'phone' mean?,هاتف
What does 'pen' mean?,قلم
What does 'notebook' mean?,دفتر
What does 'shirt' mean?,قميص
What does 'shoe' mean?,حذاء
What does 'hat' mean?,قبعة
What does 'bag' mean?,حقيبة
What does 'window' mean?,نافذة
What does 'door' mean?,باب
What does 'roof' mean?,سقف
What does 'floor' mean?,أرضية
What does 'bed' mean?,سرير
What does 'lamp' mean?,مصباح
What does 'television' mean?,تلفاز
What does 'keyboard' mean?,لوحة مفاتيح
What does 'mouse' mean?,ماوس
What does 'television' mean?,تلفاز
What does 'refrigerator' mean?,ثلاجة
What does 'oven' mean?,فرن
What does 'sink' mean?,حوض
What does 'cup' mean?,فنجان
What does 'plate' mean?,طبق
What does 'spoon' mean?,ملعقة
What does 'fork' mean?,شوكة
What does 'knife' mean?,سكين
What does 'bookstore' mean?,مكتبة
What does 'restaurant' mean?,مطعم
What does 'hospital' mean?,مستشفى
What does 'bank' mean?,بنك
What does 'post office' mean?,مكتب البريد
What does 'supermarket' mean?,سوبرماركت
What does 'park' mean?,حديقة
What does 'library' mean?,مكتبة
What does 'museum' mean?,متحف
What does 'cinema' mean?,سينما
What does 'theater' mean?,مسرح
What does 'gym' mean?,صالة رياضية
What does 'swimming pool' mean?,مسبح
What does 'beach' mean?,شاطئ
What does 'mountain' mean?,جبل
What does 'river' mean?,نهر
What does 'lake' mean?,بحيرة
What does 'forest' mean?,غابة
What does 'desert' mean?,صحراء
What does 'field' mean?,حقل
What does 'farm' mean?,مزرعة
What does 'city' mean?,مدينة
What does 'village' mean?,قرية
What does 'town' mean?,بلدة
What does 'countryside' mean?,ريف
What does 'country' mean?,دولة
What does 'continent' mean?,قارة
What does 'planet' mean?,كوكب
What does 'star' mean?,نجم
What does 'moon' mean?,قمر
What does 'sun' mean?,شمس
What does 'cloud' mean?,سحاب
What does 'rain' mean?,مطر
What does 'snow' mean?,ثلج
What does 'wind' mean?,ريح
What does 'storm' mean?,عاصفة
What does 'weather' mean?,طقس
What does 'temperature' mean?,درجة حرارة
What does 'season' mean?,فصل
What does 'spring' mean?,ربيع
What does 'summer' mean?,صيف
What does 'autumn' mean?,خريف
What does 'winter' mean?,شتاء
What does 'holiday' mean?,عطلة
What does 'vacation' mean?,إجازة
What does 'celebration' mean?,احتفال
What does 'birthday' mean?,عيد ميلاد
What does 'anniversary' mean?,ذكرى سنوية
What does 'gift' mean?,هدية
What does 'party' mean?,حفلة
What does 'invitation' mean?,دعوة
What does 'card' mean?,بطاقة
What does 'message' mean?,رسالة
What does 'letter' mean?,رسالة
What does 'email' mean?,بريد إلكتروني
What does 'phone call' mean?,مكالمة هاتفية
What does 'text message' mean?,رسالة نصية
What does 'address' mean?,عنوان
What does 'contact' mean?,جهة اتصال
What does 'number' mean?,رقم
What does 'date' mean?,تاريخ
What does 'time' mean?,وقت
What does 'hour' mean?,ساعة
What does 'minute' mean?,دقيقة
What does 'second' mean?,ثانية
What does 'morning' mean?,صباح
What does 'afternoon' mean?,بعد الظهر
What does 'evening' mean?,مساء
What does 'night' mean?,ليل
What does 'breakfast' mean?,فطور
What does 'lunch' mean?,غداء
What does 'dinner' mean?,عشاء
What does 'snack' mean?,وجبة خفيفة
What does 'drink' mean?,مشروب
What does 'food' mean?,طعام
What does 'fruit' mean?,فاكهة
What does 'vegetable' mean?,خضار
What does 'meat' mean?,لحم
What does 'fish' mean?,سمك
What does 'bread' mean?,خبز
What does 'cake' mean?,كيك
What does 'cookie' mean?,بسكويت
What does 'ice cream' mean?,آيس كريم
What does 'chocolate' mean?,شوكولاتة
What does 'sugar' mean?,سكر
What does 'salt' mean?,ملح
What does 'pepper' mean?,فلفل
What does 'oil' mean?,زيت
What does 'vinegar' mean?,خل
What does 'butter' mean?,زبدة
What does 'cheese' mean?,جبن
What does 'yogurt' mean?,زبادي
What does 'milk' mean?,حليب
What does 'coffee' mean?,قهوة
What does 'tea' mean?,شاي
What does 'juice' mean?,عصير
What does 'water' mean?,ماء
What does 'beer' mean?,بيرة
What does 'wine' mean?,نبيذ
What does 'restaurant' mean?,مطعم
What does 'cafe' mean?,مقهى
What does 'bar' mean?,بار
What does 'pub' mean?,حانة
What does 'fast food' mean?,وجبات سريعة
What does 'menu' mean?,قائمة الطعام
What does 'bill' mean?,فاتورة
What does 'reservation' mean?,حجز
What does 'waiter' mean?,نادل
What does 'waitress' mean?,نادلة
What does 'chef' mean?,طباخ
What does 'cook' mean?,طاه
What does 'kitchen' mean?,مطبخ
What does 'tablecloth' mean?,غطاء طاولة
What does 'napkin' mean?,منديل
What does 'plate' mean?,طبق
What does 'glass' mean?,كوب
What does 'cup' mean?,فنجان
What does 'fork' mean?,شوكة
What does 'spoon' mean?,ملعقة
What does 'knife' mean?,سكين
What does 'salt' mean?,ملح
What does 'pepper' mean?,فلفل
What does 'sugar' mean?,سكر
What does 'butter' mean?,زبدة
What does 'bread' mean?,خبز
What does 'cheese' mean?,جبن
What does 'fruit' mean?,فاكهة
What does 'vegetable' mean?,خضار
What does 'meat' mean?,لحم
What does 'fish' mean?,سمك
What does 'chicken' mean?,دجاج
What does 'beef' mean?,لحم بقر
What does 'pork' mean?,لحم خنزير
What does 'lamb' mean?,لحم ضأن
What does 'rice' mean?,أرز
What does 'pasta' mean?,مكرونة
What does 'noodle' mean?,نودلز
What does 'soup' mean?,حساء
What does 'salad' mean?,سلطة
What does 'sandwich' mean?,ساندويتش
What does 'burger' mean?,برجر
What does 'pizza' mean?,بيتزا
What does 'pancake' mean?,فطيرة
What does 'waffle' mean?,وافل
What does 'omelet' mean?,عجة
What does 'egg' mean?,بيضة
What does 'bacon' mean?,بيكون
What does 'sausage' mean?,نقانق
What does 'aberration' mean?,انحراف
What does 'acquiesce' mean?,إذعان
What does 'alacrity' mean?,النشاط
What does 'amiable' mean?,ودي
What does 'appease' mean?,تهدئة
What does 'arcane' mean?,غامض
What does 'avarice' mean?,جشع
What does 'brazen' mean?,وقح
What does 'brusque' mean?,فظ
What does 'cajole' mean?,يتملق
What does 'callous' mean?,قاسي
What does 'candor' mean?,صراحة
What does 'chide' mean?,يؤنب
What does 'circumspect' mean?,محترس
What does 'clandestine' mean?,سري
What does 'coerce' mean?,إكراه
What does 'complacency' mean?,رضا النفس
What does 'confidant' mean?,مستودع السر
What does 'connive' mean?,يتآمر
What does 'cumulative' mean?,تراكمي
What does 'debase' mean?,يحط من قدر
What does 'decry' mean?,يستنكر
What does 'deferential' mean?,يحترم
What does 'demure' mean?,رصين
What does 'deride' mean?,يسخر من
What does 'despot' mean?,طاغية
What does 'diligent' mean?,مجتهد
What does 'elated' mean?,مبتهج
What does 'eloquent' mean?,فصيح
What does 'empathy' mean?,تعاطف
What does 'enmity' mean?,عداء
What does 'erudite' mean?,واسع المعرفة
What does 'extol' mean?,يمدح
What does 'fabricate' mean?,يختلق
What does 'feral' mean?,متوحش
What does 'flabbergasted' mean?,مذهول
What does 'forsake' mean?,يهجر
What does 'fractious' mean?,مشاكس
What does 'furtive' mean?,ماكر
What does 'gluttony' mean?,الشره
What does 'gratuitous' mean?,مجاني
What does 'haughty' mean?,متغطرس
What does 'hypocrisy' mean?,نفاق
What does 'impeccable' mean?,بلا عيب
What does 'impertinent' mean?,وقح
What does 'implacable' mean?,عنيد
What does 'impudent' mean?,وقح
What does 'incisive' mean?,حاد
What does 'inept' mean?,غير كفؤ
What does 'infamy' mean?,سمعة سيئة
What does 'inhibit' mean?,يعيق
What does 'innate' mean?,فطري
What does 'insatiable' mean?,لا يشبع
What does 'insular' mean?,منعزل
What does 'intrepid' mean?,مقدام
What does 'inveterate' mean?,متأصل
What does 'jubilant' mean?,مبتهج
What does 'knell' mean?,جرس الموت
What does 'lithe' mean?,رشيق
What does 'lurid' mean?,شنيع
What does 'maverick' mean?,مستقل
What does 'maxim' mean?,قول مأثور
What does 'meticulous' mean?,دقيق
What does 'modicum' mean?,القليل
What does 'morose' mean?,كئيب
What does 'myriad' mean?,عدد كبير
What does 'nadir' mean?,الحضيض
What does 'nominal' mean?,اسمي
What does 'novice' mean?,مبتدئ
What does 'nuance' mean?,فارق دقيق
What does 'oblivious' mean?,غافل
What does 'obsequious' mean?,متذلل
What does 'obtuse' mean?,بليد
What does 'panacea' mean?,علاج شامل
What does 'paragon' mean?,نموذج مثالي
What does 'penchant' mean?,ميل
What does 'perusal' mean?,تصفح
What does 'plethora' mean?,وفرة
What does 'predilection' mean?,ولع
What does 'quaint' mean?,غريب
What does 'quandary' mean?,حيرة
What does 'repudiate' mean?,ينكر
What does 'rife' mean?,منتشر
What does 'salient' mean?,بارز
What does 'serendipity' mean?,اكتشاف بالصدفة
What does 'stolid' mean?,غير حساس
What does 'superfluous' mean?,غير ضروري
What does 'sycophant' mean?,متملق
What does 'taciturn' mean?,قليل الكلام
What does 'truculent' mean?,عدواني
What does 'ubiquitous' mean?,منتشر
What does 'umbrage' mean?,استياء
What does 'venerable' mean?,مبجل
What does 'vex' mean?,يغيظ
What does 'vociferous' mean?,صاخب
What does 'wanton' mean?,طائش
What does 'zenith' mean?,ذروة
What does 'zealous' mean?,متحمس
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
